Category,Name,Details
Player Roster - Quarterbacks,Lamar Jackson – QB,"Stats:\n• NFL MVP: 2019, 2023\n• Career Passing Yards: 17,000+\n• Career Rushing Yards: 5,000+\n\nDescription:\nElite dual-threat quarterback and centerpiece of the Ravens offense."
Player Roster - Quarterbacks,Cooper Rush – QB,"Stats:\n• NFL Starts: 10+\n\nDescription:\nVeteran backup quarterback providing experience and stability."
Player Roster - Running Backs,Derrick Henry – RB,"Stats:\n• Career Rushing Yards: 9,000+\n• Career Rushing TDs: 90+\n\nDescription:\nPower back known for size, speed, and late-game dominance."
Player Roster - Running Backs,Justice Hill – RB,"Stats:\n• Versatile runner and receiver\n\nDescription:\nChange-of-pace back with strong special teams value."
Player Roster - Running Backs,Keaton Mitchell – RB,"Stats:\n• Yards per carry: 8.0+ (rookie season)\n\nDescription:\nExplosive speed back capable of breaking big plays."
Player Roster - Running Backs,Rasheen Ali – RB,"Stats:\n• College standout at Marshall\n\nDescription:\nYoung developmental back with quickness and vision."
Player Roster - Running Backs,Patrick Ricard – FB,"Stats:\n• Pro Bowls: Multiple\n\nDescription:\nVersatile fullback and blocking specialist, key to run-heavy sets."
Player Roster - Tight Ends,Mark Andrews – TE,"Stats:\n• Pro Bowls: Multiple\n• Career Receptions: 400+\n\nDescription:\nPrimary receiving tight end and red-zone threat."
Player Roster - Tight Ends,Isaiah Likely – TE,"Stats:\n• Breakout games when starting\n\nDescription:\nAthletic tight end with strong receiving upside."
Player Roster - Tight Ends,Charlie Kolar – TE,"Stats:\n• Strong blocking metrics\n\nDescription:\nReliable tight end contributing in both run and pass schemes."
Player Roster - Offensive Line,Ronnie Stanley – OT,"Stats:\n• Pro Bowl LT\n\nDescription:\nVeteran left tackle protecting the blind side."
Player Roster - Offensive Line,Tyler Linderbaum – C,"Stats:\n• Pro Bowl Center\n\nDescription:\nElite technician anchoring the offensive line."
Player Roster - Offensive Line,Andrew Voorhees – G,"Stats:\n• Rookie season contributor\n\nDescription:\nPhysical interior lineman with strong run-blocking ability."
Player Roster - Offensive Line,Ben Cleveland – G,"Stats:\n• Known for size and power\n\nDescription:\nDepth guard providing physicality in the trenches."
Player Roster - Offensive Line,Corey Bullock – OT,"Stats:\n• Developmental tackle\n\nDescription:\nYoung offensive lineman building versatility."
Player Roster - Offensive Line,Joseph Noteboom – OT,"Stats:\n• NFL starter experience\n\nDescription:\nVeteran swing tackle offering depth and flexibility."
Player Roster - Wide Receivers,Zay Flowers – WR,"Stats:\n• 1,000+ receiving yards season\n\nDescription:\nExplosive playmaker and primary receiving threat."
Player Roster - Wide Receivers,Rashod Bateman – WR,"Stats:\n• Former 1st-round pick\n\nDescription:\nPolished route runner with strong hands."
Player Roster - Wide Receivers,DeAndre Hopkins – WR,"Stats:\n• All-Pro selections\n• Career receiving yards: 12,000+\n\nDescription:\nElite veteran receiver known for contested catches."
Player Roster - Wide Receivers,Tylan Wallace – WR,"Stats:\n• Special teams contributor\n\nDescription:\nDepth receiver with value in coverage units."
Player Roster - Wide Receivers,Devontez Walker – WR,"Stats:\n• College deep-threat specialist\n\nDescription:\nSpeed receiver capable of stretching defenses."
Player Roster - Wide Receivers,LaJohntay Wester – WR,"Stats:\n• Slot production at college level\n\nDescription:\nAgile receiver with return and slot potential."
Player Roster - Defensive Front,Nnamdi Madubuike – DT,"Stats:\n• Double-digit sack season\n\nDescription:\nInterior disruptor and cornerstone of the defensive line."
Player Roster - Defensive Front,Travis Jones – DT,"Stats:\n• Strong run-stopping metrics\n\nDescription:\nPower defensive tackle anchoring the interior."
Player Roster - Defensive Front,Broderick Washington Jr. – DT,"Stats:\n• Reliable rotational lineman\n\nDescription:\nProvides depth and consistency up front."
Player Roster - Defensive Front,John Jenkins – DT,"Stats:\n• Veteran NFL experience\n\nDescription:\nRun-stopping specialist with size and strength."
Player Roster - Linebackers,Roquan Smith – LB,"Stats:\n• All-Pro selections\n\nDescription:\nDefensive leader and tackling machine."
Player Roster - Linebackers,Trenton Simpson – LB,"Stats:\n• Speed and range metrics\n\nDescription:\nAthletic linebacker with sideline-to-sideline ability."
Player Roster - Linebackers,Kyle Van Noy – OLB,"Stats:\n• Veteran sacks and pressures\n\nDescription:\nExperienced edge defender and situational pass rusher."
Player Roster - Secondary,Marlon Humphrey – CB,"Stats:\n• Pro Bowl CB\n\nDescription:\nPhysical cornerback and leader in the secondary."
Player Roster - Secondary,Kyle Hamilton – SAF,"Stats:\n• All-Pro selection\n\nDescription:\nVersatile safety capable of playing all over the field."
Player Roster - Specialists,Jordan Stout – P,"Stats:\n• Strong net punting average\n\nDescription:\nPrimary punter handling field-position duties."
Player Roster - Specialists,Tyler Loop – K,"Stats:\n• College accuracy leader\n\nDescription:\nKicker responsible for field goals and kickoffs."
Coaching Staff,John Harbaugh – Head Coach,"Role:\n• Overall team leadership and vision\n• Game management and decision-making\n• Culture, discipline, and accountability\n\nDescription:\nSuper Bowl-winning head coach known for adaptability and long-term organizational stability."
Coaching Staff,Todd Monken – Offensive Coordinator,"Role:\n• Offensive scheme design\n• Play-calling and game planning\n• Quarterback development\n\nDescription:\nArchitect of a modern, aggressive offense tailored to maximize player strengths."
Coaching Staff,Zachary Orr – Defensive Coordinator,"Role:\n• Defensive play-calling\n• Defensive strategy and adjustments\n\nDescription:\nFormer Ravens linebacker bringing an attacking, player-first defensive philosophy."
Coaching Staff,Chris Horton – Special Teams Coordinator,"Role:\n• Special teams schemes\n• Game-day execution\n\nDescription:\nOversees all kicking, coverage, and return units."
Coaching Staff,Willie Taggart – Assistant Head Coach / RB Coach,"Role:\n• Assists head coach with leadership duties\n• Running back development\n\nDescription:\nProvides veteran leadership and develops the team's running back group."
Coaching Staff,George Godsey – Tight Ends Coach,"Role:\n• Tight end development\n• Blocking and route responsibilities\n\nDescription:\nWorks with tight ends on versatility in both the run and pass game."
Coaching Staff,Greg Lewis – Wide Receivers Coach,"Role:\n• Wide receiver technique\n• Route running and blocking\n\nDescription:\nDevelops wide receivers within the Ravens passing offense."
Coaching Staff,Tee Martin – Quarterbacks Coach,"Role:\n• Quarterback mechanics\n• Film study and decision-making\n\nDescription:\nWorks closely with quarterbacks to improve accuracy and command of the offense."
Coaching Staff,George Warhop – Offensive Line Coach,"Role:\n• Offensive line technique\n• Pass protection and run blocking\n\nDescription:\nDevelops offensive linemen and ensures cohesive line play."
Coaching Staff,Dennis Johnson – Defensive Line Coach,"Role:\n• Defensive line technique\n• Run defense and pass rush\n\nDescription:\nCoaches interior and edge linemen to control the line of scrimmage."
Coaching Staff,Donald D'Alesio – Defensive Backs Coach,"Role:\n• Defensive back technique\n• Coverage scheme implementation\n\nDescription:\nDevelops cornerbacks and safeties within the defensive system."
Coaching Staff,Tyler Santucci – Inside Linebackers Coach,"Role:\n• Inside linebacker fundamentals\n• Run fits and coverage assignments\n\nDescription:\nDevelops inside linebackers within the defensive scheme."
Coaching Staff,Matt Robinson – Outside Linebackers Coach,"Role:\n• Edge rusher technique\n• Pass rush coordination\n\nDescription:\nFocuses on developing outside linebackers as pass rush threats."
Front Office,Eric DeCosta – Executive VP & GM,"Role:\n• Oversees all football operations\n• Final authority on roster construction\n• Contract negotiations and salary cap strategy\n\nDescription:\nLeads player personnel decisions and long-term team building strategy."
Front Office,Ozzie Newsome – Executive VP,"Role:\n• Senior football advisor\n• Organizational leadership\n\nDescription:\nHall of Fame executive providing guidance on football operations and culture."
Front Office,George Kokinis – VP Player Personnel,"Role:\n• Manages pro and college scouting departments\n• Player acquisition strategy\n\nDescription:\nOversees evaluation of current players, free agents, and draft prospects."
Front Office,Nick Matteo – VP Football Administration,"Role:\n• Contract administration\n• Salary cap compliance\n\nDescription:\nHandles financial and contractual logistics of football operations."
Front Office,David McDonald – VP Research & Development,"Role:\n• Football analytics and data science\n• Decision support systems\n\nDescription:\nLeads analytics initiatives supporting scouting, strategy, and performance."
Strength & Conditioning,Scott Elliott – S&C Coordinator,"Role:\n• Oversees all strength and conditioning programs\n• Coordinates performance development across positions\n\nDescription:\nLeads the Ravens' physical development philosophy, focusing on strength, speed, and durability."
Strength & Conditioning,Kaelyn Buskey – Assistant S&C Coach,"Role:\n• Assists with daily strength programs\n• Player monitoring and recovery\n\nDescription:\nSupports individualized training plans and recovery protocols for players."
Strength & Conditioning,Kevin Hartman – Assistant S&C Coach,"Role:\n• Weight room supervision\n• Conditioning and mobility work\n\nDescription:\nWorks closely with players to maintain conditioning and prevent soft-tissue injuries."
Strength & Conditioning,Connor Gorny – Applied Sports Scientist,"Role:\n• Performance data analysis\n• Load management and biometrics\n\nDescription:\nUses sports science and analytics to optimize training intensity and recovery strategies."
Medical Staff,Dr. Andrew Tucker – Chief Medical Officer,"Role:\n• Oversees all medical operations\n• Final authority on player health decisions\n\nDescription:\nLeads the Ravens' medical program and coordinates care across all specialties."
Medical Staff,Dr. Tricia Bent-Goodley – Team Clinician,"Role:\n• Mental health and wellness support\n• Crisis intervention\n\nDescription:\nProvides psychological and emotional support services for players and staff."
Medical Staff,Adrian Dixon – Head Athletic Trainer,"Role:\n• Manages athletic training staff\n• Injury prevention and evaluation\n• Game-day medical coordination\n\nDescription:\nPrimary liaison between coaching staff, players, and medical personnel."
Medical Staff,Chris Marroquin – Director of Rehabilitation,"Role:\n• Oversees injury rehab programs\n• Return-to-play planning\n\nDescription:\nDesigns and supervises rehabilitation pathways for injured players."
Medical Staff,Ron Medlin – Senior Assistant Athletic Trainer,"Role:\n• Advanced injury treatment\n• Practice and game support\n\nDescription:\nVeteran trainer assisting with complex recovery cases and daily player care."
Medical Staff,Michael Blankenship – Senior Physical Therapist,"Role:\n• Physical therapy and mobility\n• Post-surgical rehabilitation\n\nDescription:\nSpecializes in restoring strength, flexibility, and movement efficiency."